שם ישוב,סוג הישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,Multiplier (85% turnout),מצביעים,פסולים,כשרים,אמת,ג,דעם,ום,ז,זי,זך,זנ,זץ,טב,י,יז,ין,יץ,כ,ךק,ל,מחל,מרצ,נ,נז,נך,נץ,נר,ן,ןך,ןנ,פה,ףז,ףי,ףך,ףנ,ףץ,צק,ץ,ץז,ץי,ק,קי,קן,קף,ר,שס,% Arab parties
אטרש (שבט),ערבי,965,1494,226,1,225,3,0,159,10,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,1,0,0,0,0,1,0,0,33,0,0,0,0,1,3,0,0,2,2,0,0,0,2,1,5.6190,1270,6,1264,17,0,893,56,0,0,0,0,0,0,0,0,0,0,11,0,0,6,22,6,0,0,0,0,6,0,0,185,0,0,0,0,6,17,0,0,11,11,0,0,0,11,6,74.78%
אכסאל,ערבי,478,9369,4833,26,4807,15,0,1012,3319,1,0,0,0,1,1,0,0,0,0,38,1,1,44,274,0,2,0,4,1,3,0,0,62,1,0,0,2,1,4,0,0,1,3,0,0,3,12,1,1.6478,7964,43,7921,25,0,1668,5469,2,0,0,0,2,2,0,0,0,0,63,2,2,73,451,0,3,0,7,2,5,0,0,102,2,0,0,3,2,7,0,0,2,5,0,0,5,20,2,89.61%
אל סייד,ערבי,1359,1650,544,6,538,14,0,162,38,0,0,1,0,1,0,0,0,0,0,0,0,1,22,24,7,0,0,1,0,0,0,1,97,0,0,0,2,0,2,0,0,0,0,1,0,0,1,163,2.5781,1403,15,1387,36,0,418,98,0,0,3,0,3,0,0,0,0,0,0,0,3,57,62,18,0,0,3,0,0,0,3,250,0,0,0,5,0,5,0,0,0,0,3,0,0,3,420,36.76%
אל-עריאן,ערבי,1316,128,64,4,60,0,0,13,16,0,0,0,0,0,0,0,0,0,0,7,0,0,2,12,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,1.7000,109,7,102,0,0,22,27,0,0,0,0,0,0,0,0,0,0,12,0,0,3,20,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,7,0,2,2,0,0,45.31%
אסד (שבט),ערבי,960,488,50,2,48,1,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.2960,415,17,398,8,0,249,8,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,62.00%
אעבלין,ערבי,529,8913,4508,64,4444,72,6,727,2575,1,1,0,0,0,4,0,1,5,3,51,2,58,51,408,3,1,0,0,1,1,3,1,272,0,2,3,0,3,3,1,0,1,5,2,4,7,11,155,1.6806,7576,108,7468,121,10,1222,4327,2,2,0,0,0,7,0,2,8,5,86,3,97,86,686,5,2,0,0,2,2,5,2,457,0,3,5,0,5,5,2,0,2,8,3,7,12,18,260,73.25%
אעצם (שבט),ערבי,963,4482,961,18,943,5,1,797,52,2,1,0,0,1,3,0,0,0,3,2,3,0,7,26,0,2,0,0,1,0,1,1,14,1,1,2,0,1,2,1,0,4,1,3,0,1,1,3,3.9643,3810,71,3738,20,4,3160,206,8,4,0,0,4,12,0,0,0,12,8,12,0,28,103,0,8,0,0,4,0,4,4,56,4,4,8,0,4,8,4,0,16,4,12,0,4,4,12,88.35%
באקה אל-גרביה,ערבי,6000,18635,7991,130,7861,46,1,2677,3872,1,1,1,0,0,5,0,0,0,2,58,3,2,29,725,3,1,0,9,5,2,0,3,305,3,5,4,1,0,5,19,0,3,5,0,2,7,18,38,1.9822,15840,258,15582,91,2,5306,7675,2,2,2,0,0,10,0,0,0,4,115,6,4,57,1437,6,2,0,18,10,4,0,6,605,6,10,8,2,0,10,38,0,6,10,0,4,14,36,75,81.95%
בועיינה-נוג'ידאת,ערבי,482,6376,3342,60,3282,138,14,1308,1176,0,0,0,0,0,2,0,0,0,0,34,2,2,37,110,1,3,0,113,1,0,0,3,216,0,0,0,0,3,3,1,0,2,3,0,3,2,11,94,1.6217,5420,97,5322,224,23,2121,1907,0,0,0,0,0,3,0,0,0,0,55,3,3,60,178,2,5,0,183,2,0,0,5,350,0,0,0,0,5,5,2,0,3,5,0,5,3,18,152,74.33%
ביר אל-מכסור,ערבי,998,6312,2001,26,1975,54,0,413,338,1,0,0,0,1,4,0,0,0,0,31,1,1,88,258,3,0,0,13,2,0,0,0,656,1,0,1,0,2,5,0,0,1,1,0,0,2,12,86,2.6813,5365,70,5295,145,0,1107,906,3,0,0,0,3,11,0,0,0,0,83,3,3,236,692,8,0,0,35,5,0,0,0,1759,3,0,3,0,5,13,0,0,3,3,0,0,5,32,231,37.53%
